date	tag	asset	count
2026-09-19	v0.14.0	Barnacles-0.14.0-arm64-mac.zip	1
2026-09-19	v0.14.0	Barnacles-0.14.0-arm64-mac.zip.blockmap	2
2026-09-19	v0.14.0	Barnacles-0.14.0-arm64.dmg	0
2026-09-19	v0.14.0	Barnacles-0.14.0-arm64.dmg.blockmap	1
2026-09-19	v0.14.0	Barnacles-0.14.0.AppImage	0
2026-09-19	v0.14.0	barnacles-0.14.0.x86_64.rpm	0
2026-09-19	v0.14.0	Barnacles-Setup-0.14.0.exe	0
2026-09-19	v0.14.0	Barnacles-Setup-0.14.0.exe.blockmap	0
2026-09-19	v0.14.0	Barnacles.Setup.0.14.0.exe	0
2026-09-19	v0.14.0	barnacles_0.14.0_amd64.deb	0
2026-09-19	v0.14.0	latest-linux.yml	0
2026-09-19	v0.14.0	latest-mac.yml	38
2026-09-19	v0.14.0	latest.yml	0
2026-09-19	v0.13.0	Barnacles-0.13.0-arm64-mac.zip	3
2026-09-19	v0.13.0	Barnacles-0.13.0-arm64-mac.zip.blockmap	2
2026-09-19	v0.13.0	Barnacles-0.13.0-arm64.dmg	2
2026-09-19	v0.13.0	Barnacles-0.13.0-arm64.dmg.blockmap	1
2026-09-19	v0.13.0	Barnacles-0.13.0.AppImage	2
2026-09-19	v0.13.0	barnacles-0.13.0.x86_64.rpm	0
2026-09-19	v0.13.0	Barnacles-Setup-0.13.0.exe	0
2026-09-19	v0.13.0	Barnacles-Setup-0.13.0.exe.blockmap	0
2026-09-19	v0.13.0	Barnacles.Setup.0.13.0.exe	0
2026-09-19	v0.13.0	barnacles_0.13.0_amd64.deb	0
2026-09-19	v0.13.0	latest-linux.yml	1
2026-09-19	v0.13.0	latest-mac.yml	13
2026-09-19	v0.13.0	latest.yml	1
2026-09-19	v0.12.0	Barnacles-0.12.0-arm64-mac.zip	1
2026-09-19	v0.12.0	Barnacles-0.12.0-arm64-mac.zip.blockmap	1
2026-09-19	v0.12.0	Barnacles-0.12.0-arm64.dmg	4
2026-09-19	v0.12.0	Barnacles-0.12.0-arm64.dmg.blockmap	1
2026-09-19	v0.12.0	Barnacles-0.12.0.AppImage	1
2026-09-19	v0.12.0	barnacles-0.12.0.x86_64.rpm	0
2026-09-19	v0.12.0	Barnacles-Setup-0.12.0.exe	1
2026-09-19	v0.12.0	Barnacles-Setup-0.12.0.exe.blockmap	0
2026-09-19	v0.12.0	Barnacles.Setup.0.12.0.exe	0
2026-09-19	v0.12.0	barnacles_0.12.0_amd64.deb	0
2026-09-19	v0.12.0	latest-linux.yml	0
2026-09-19	v0.12.0	latest-mac.yml	100
2026-09-19	v0.12.0	latest.yml	1
2026-09-19	v0.11.0	Barnacles-0.11.0-arm64-mac.zip	1
2026-09-19	v0.11.0	Barnacles-0.11.0-arm64-mac.zip.blockmap	2
2026-09-19	v0.11.0	Barnacles-0.11.0-arm64.dmg	0
2026-09-19	v0.11.0	Barnacles-0.11.0-arm64.dmg.blockmap	0
2026-09-19	v0.11.0	Barnacles-0.11.0.AppImage	0
2026-09-19	v0.11.0	barnacles-0.11.0.x86_64.rpm	0
2026-09-19	v0.11.0	Barnacles-Setup-0.11.0.exe	0
2026-09-19	v0.11.0	Barnacles-Setup-0.11.0.exe.blockmap	0
2026-09-19	v0.11.0	Barnacles.Setup.0.11.0.exe	0
2026-09-19	v0.11.0	barnacles_0.11.0_amd64.deb	0
2026-09-19	v0.11.0	latest-linux.yml	0
2026-09-19	v0.11.0	latest-mac.yml	30
2026-09-19	v0.11.0	latest.yml	0
